날짜,시간,구장,경기원정팀홈팀,구분,중계방송사
2023.06.04 일,17:00,한화생명 이글스 파크,종료  삼성  5  한화  10,페넌트레이스,SBS SPORTS
2023.06.04 일,17:00,인천 SSG 랜더스 필드,종료  키움  4  SSG  3,페넌트레이스,KBS N SPORTS
2023.06.05 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.06 화,14:00,잠실야구장,종료  한화  1  두산  4,페넌트레이스,MBC TV
2023.06.06 화,14:00,고척 스카이돔,종료  LG  9  키움  1,페넌트레이스,SBS TV
2023.06.06 화,14:00,광주-기아 챔피언스필드,종료  SSG  2  KIA  1,페넌트레이스,KBS 2TV
2023.06.06 화,17:00,사직야구장,종료  KT  4  롯데  1,페넌트레이스,SBS SPORTS
2023.06.06 화,17:00,대구 삼성 라이온즈 파크,종료  NC  6  삼성  9,페넌트레이스,KBS N SPORTS
2023.06.07 수,18:30,잠실야구장,종료  한화  3  두산  6,페넌트레이스,MBC SPORTS+
2023.06.07 수,18:30,사직야구장,종료  KT  3  롯데  2,페넌트레이스,SBS SPORTS
2023.06.07 수,18:30,고척 스카이돔,종료  LG  5  키움  5,페넌트레이스,KBS N SPORTS
2023.06.07 수,18:30,대구 삼성 라이온즈 파크,종료  NC  4  삼성  0,페넌트레이스,SPOTV
2023.06.07 수,18:30,광주-기아 챔피언스필드,종료  SSG  9  KIA  8,페넌트레이스,SPOTV2
2023.06.08 목,18:30,잠실야구장,종료  한화  1  두산  2,페넌트레이스,MBC SPORTS+
2023.06.08 목,18:30,사직야구장,종료  KT  7  롯데  6,페넌트레이스,SBS SPORTS
2023.06.08 목,18:30,고척 스카이돔,종료  LG  0  키움  13,페넌트레이스,KBS N SPORTS
2023.06.08 목,18:30,대구 삼성 라이온즈 파크,종료  NC  7  삼성  1,페넌트레이스,SPOTV
2023.06.08 목,18:30,광주-기아 챔피언스필드,종료  SSG  5  KIA  4,페넌트레이스,SPOTV2
2023.06.09 금,18:30,잠실야구장,종료  KIA  7  두산  3,페넌트레이스,MBC SPORTS+
2023.06.09 금,18:30,한화생명 이글스 파크,종료  LG  5  한화  6,페넌트레이스,SPOTV
2023.06.09 금,18:30,대구 삼성 라이온즈 파크,종료  롯데  5  삼성  1,페넌트레이스,KBS N SPORTS
2023.06.09 금,18:30,창원NC파크,종료  SSG  2  NC  5,페넌트레이스,SPOTV2
2023.06.09 금,18:30,수원 케이티위즈 파크,종료  키움  2  KT  3,페넌트레이스,SBS SPORTS
2023.06.10 토,17:00,잠실야구장,종료  KIA  6  두산  3,페넌트레이스,MBC SPORTS+
2023.06.10 토,17:00,한화생명 이글스 파크,종료  LG  0  한화  7,페넌트레이스,SPOTV
2023.06.10 토,17:00,대구 삼성 라이온즈 파크,종료  롯데  7  삼성  9,페넌트레이스,KBS N SPORTS
2023.06.10 토,17:00,창원NC파크,종료  SSG  0  NC  7,페넌트레이스,SPOTV2
2023.06.10 토,17:00,수원 케이티위즈 파크,종료  키움  5  KT  2,페넌트레이스,SBS SPORTS
2023.06.11 일,17:00,잠실야구장,종료  KIA  2  두산  3,페넌트레이스,MBC SPORTS+
2023.06.11 일,17:00,한화생명 이글스 파크,종료  LG  13  한화  7,페넌트레이스,SPOTV
2023.06.11 일,17:00,대구 삼성 라이온즈 파크,종료  롯데  4  삼성  6,페넌트레이스,KBS N SPORTS
2023.06.11 일,17:00,창원NC파크,종료  SSG  4  NC  8,페넌트레이스,SPOTV2
2023.06.11 일,17:00,수원 케이티위즈 파크,종료  키움  14  KT  5,페넌트레이스,SBS SPORTS
2023.06.12 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.13 화,18:30,사직야구장,종료  한화  5  롯데  7,페넌트레이스,SBS SPORTS
2023.06.13 화,18:30,고척 스카이돔,종료  KIA  0  키움  1,페넌트레이스,KBS N SPORTS
2023.06.13 화,18:30,인천 SSG 랜더스 필드,종료  KT  1  SSG  8,페넌트레이스,MBC SPORTS+
2023.06.13 화,18:30,창원NC파크,종료  두산  11  NC  4,페넌트레이스,SPOTV2
2023.06.13 화,18:30,잠실야구장,종료  삼성  1  LG  2,페넌트레이스,SPOTV
2023.06.14 수,18:30,사직야구장,종료  한화  8  롯데  4,페넌트레이스,SBS SPORTS
2023.06.14 수,18:30,고척 스카이돔,종료  KIA  1  키움  2,페넌트레이스,KBS N SPORTS
2023.06.14 수,18:30,인천 SSG 랜더스 필드,종료  KT  14  SSG  4,페넌트레이스,MBC SPORTS+
2023.06.14 수,18:30,창원NC파크,종료  두산  4  NC  5,페넌트레이스,SPOTV2
2023.06.14 수,18:30,잠실야구장,종료  삼성  2  LG  3,페넌트레이스,SPOTV
2023.06.15 목,18:30,사직야구장,종료  한화  5  롯데  4,페넌트레이스,SBS SPORTS
2023.06.15 목,18:30,고척 스카이돔,종료  KIA  8  키움  4,페넌트레이스,KBS N SPORTS
2023.06.15 목,18:30,인천 SSG 랜더스 필드,종료  KT  7  SSG  3,페넌트레이스,MBC SPORTS+
2023.06.15 목,18:30,창원NC파크,종료  두산  3  NC  10,페넌트레이스,SPOTV2
2023.06.15 목,18:30,잠실야구장,종료  삼성  3  LG  9,페넌트레이스,SPOTV
2023.06.16 금,18:30,인천 SSG 랜더스 필드,종료  롯데  1  SSG  12,페넌트레이스,SPOTV2
2023.06.16 금,18:30,광주-기아 챔피언스필드,종료  NC  11  KIA  13,페넌트레이스,SBS SPORTS
2023.06.16 금,18:30,잠실야구장,종료  두산  4  LG  7,페넌트레이스,KBS N SPORTS
2023.06.16 금,18:30,수원 케이티위즈 파크,종료  삼성  6  KT  7,페넌트레이스,MBC SPORTS+
2023.06.16 금,18:30,한화생명 이글스 파크,종료  키움  2  한화  2,페넌트레이스,SPOTV
2023.06.17 토,17:00,인천 SSG 랜더스 필드,종료  롯데  5  SSG  8,페넌트레이스,SPOTV2
2023.06.17 토,17:00,광주-기아 챔피언스필드,종료  NC  10  KIA  7,페넌트레이스,SBS SPORTS
2023.06.17 토,17:00,잠실야구장,종료  두산  7  LG  4,페넌트레이스,KBS N SPORTS
2023.06.17 토,17:00,수원 케이티위즈 파크,종료  삼성  5  KT  6,페넌트레이스,MBC SPORTS+
2023.06.17 토,17:00,한화생명 이글스 파크,종료  키움  9  한화  6,페넌트레이스,SPOTV
2023.06.18 일,17:00,인천 SSG 랜더스 필드,종료  롯데  7  SSG  2,페넌트레이스,SPOTV2
2023.06.18 일,17:00,광주-기아 챔피언스필드,종료  NC  7  KIA  7,페넌트레이스,SBS SPORTS
2023.06.18 일,17:00,잠실야구장,종료  두산  3  LG  15,페넌트레이스,KBS N SPORTS
2023.06.18 일,17:00,수원 케이티위즈 파크,종료  삼성  7  KT  5,페넌트레이스,MBC SPORTS+
2023.06.18 일,17:00,한화생명 이글스 파크,종료  키움  6  한화  5,페넌트레이스,SPOTV
2023.06.19 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.20 화,18:30,한화생명 이글스 파크,종료  KIA  6  한화  4,페넌트레이스,MBC SPORTS+
2023.06.20 화,18:30,창원NC파크,종료  LG  4  NC  8,페넌트레이스,SPOTV2
2023.06.20 화,18:30,수원 케이티위즈 파크,종료  롯데  2  KT  5,페넌트레이스,SBS SPORTS
2023.06.20 화,18:30,잠실야구장,종료  SSG  6  두산  1,페넌트레이스,KBS N SPORTS
2023.06.20 화,18:30,대구 삼성 라이온즈 파크,종료  키움  7  삼성  2,페넌트레이스,SPOTV
2023.06.21 수,18:30,한화생명 이글스 파크,종료  KIA  4  한화  7,페넌트레이스,MBC SPORTS+
2023.06.21 수,18:30,창원NC파크,종료  LG  9  NC  3,페넌트레이스,SPOTV2
2023.06.21 수,18:30,수원 케이티위즈 파크,종료  롯데  2  KT  8,페넌트레이스,SBS SPORTS
2023.06.21 수,18:30,잠실야구장,종료  SSG  3  두산  1,페넌트레이스,KBS N SPORTS
2023.06.21 수,18:30,대구 삼성 라이온즈 파크,종료  키움  2  삼성  0,페넌트레이스,SPOTV
2023.06.22 목,18:30,한화생명 이글스 파크,종료  KIA  0  한화  1,페넌트레이스,MBC SPORTS+
2023.06.22 목,18:30,창원NC파크,종료  LG  4  NC  3,페넌트레이스,SPOTV2
2023.06.22 목,18:30,수원 케이티위즈 파크,종료  롯데  2  KT  4,페넌트레이스,SBS SPORTS
2023.06.22 목,18:30,잠실야구장,종료  SSG  5  두산  3,페넌트레이스,KBS N SPORTS
2023.06.22 목,18:30,대구 삼성 라이온즈 파크,종료  키움  2  삼성  1,페넌트레이스,SPOTV
2023.06.23 금,18:30,창원NC파크,종료  한화  6  NC  2,페넌트레이스,SBS SPORTS
2023.06.23 금,18:30,광주-기아 챔피언스필드,종료  KT  10  KIA  3,페넌트레이스,MBC SPORTS+
2023.06.23 금,18:30,잠실야구장,종료  롯데  2  LG  1,페넌트레이스,SPOTV
2023.06.23 금,18:30,고척 스카이돔,종료  두산  2  키움  1,페넌트레이스,KBS N SPORTS
2023.06.23 금,18:30,인천 SSG 랜더스 필드,종료  삼성  0  SSG  6,페넌트레이스,SPOTV2
2023.06.24 토,17:00,창원NC파크,종료  한화  7  NC  1,페넌트레이스,SBS SPORTS
2023.06.24 토,17:00,광주-기아 챔피언스필드,종료  KT  1  KIA  4,페넌트레이스,MBC SPORTS+
2023.06.24 토,17:00,잠실야구장,종료  롯데  1  LG  9,페넌트레이스,SPOTV
2023.06.24 토,17:00,고척 스카이돔,종료  두산  2  키움  4,페넌트레이스,KBS N SPORTS
2023.06.24 토,17:00,인천 SSG 랜더스 필드,종료  삼성  10  SSG  13,페넌트레이스,SPOTV2
2023.06.25 일,14:00,고척 스카이돔,종료  두산  17  키움  2,페넌트레이스,KBS N SPORTS
2023.06.25 일,17:00,창원NC파크,경기취소  한화  -  NC  -,,SBS SPORTS
2023.06.25 일,17:00,광주-기아 챔피언스필드,경기취소  KT  -  KIA  -,페넌트레이스,MBC SPORTS+
2023.06.25 일,17:00,잠실야구장,종료  롯데  3  LG  7,페넌트레이스,SPOTV
2023.06.25 일,17:00,인천 SSG 랜더스 필드,종료  삼성  5  SSG  2,페넌트레이스,SPOTV2
2023.06.26 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.06.27 화,18:30,한화생명 이글스 파크,종료  KT  1  한화  4,페넌트레이스,MBC SPORTS+
2023.06.27 화,18:30,인천 SSG 랜더스 필드,종료  LG  14  SSG  0,페넌트레이스,SPOTV2
2023.06.27 화,18:30,잠실야구장,종료  NC  2  두산  3,페넌트레이스,SPOTV
2023.06.27 화,18:30,사직야구장,종료  삼성  3  롯데  5,페넌트레이스,SBS SPORTS
2023.06.27 화,18:30,광주-기아 챔피언스필드,종료  키움  8  KIA  1,페넌트레이스,KBS N SPORTS
2023.06.28 수,18:30,한화생명 이글스 파크,종료  KT  4  한화  6,페넌트레이스,MBC SPORTS+
2023.06.28 수,18:30,인천 SSG 랜더스 필드,종료  LG  8  SSG  6,페넌트레이스,SPOTV2
2023.06.28 수,18:30,잠실야구장,종료  NC  4  두산  1,페넌트레이스,SPOTV
2023.06.28 수,18:30,사직야구장,종료  삼성  6  롯데  9,페넌트레이스,SBS SPORTS
2023.06.28 수,18:30,광주-기아 챔피언스필드,종료  키움  7  KIA  5,페넌트레이스,KBS N SPORTS
2023.06.29 목,18:30,한화생명 이글스 파크,경기취소  KT  -  한화  -,페넌트레이스,MBC SPORTS+
2023.06.29 목,18:30,인천 SSG 랜더스 필드,경기취소  LG  -  SSG  -,페넌트레이스,SPOTV2
2023.06.29 목,18:30,잠실야구장,경기취소  NC  -  두산  -,페넌트레이스,SPOTV
2023.06.29 목,18:30,사직야구장,경기취소  삼성  -  롯데  -,페넌트레이스,SBS SPORTS
2023.06.29 목,18:30,광주-기아 챔피언스필드,경기취소  키움  -  KIA  -,,KBS N SPORTS
2023.06.30 금,18:30,대구 삼성 라이온즈 파크,종료  한화  6  삼성  1,페넌트레이스,SBS SPORTS
2023.06.30 금,18:30,잠실야구장,종료  KIA  4  LG  5,페넌트레이스,MBC SPORTS+
2023.06.30 금,18:30,수원 케이티위즈 파크,종료  NC  2  KT  3,페넌트레이스,SPOTV
2023.06.30 금,18:30,울산문수야구장,종료  두산  0  롯데  1,페넌트레이스,KBS N SPORTS
2023.06.30 금,18:30,고척 스카이돔,종료  SSG  7  키움  3,페넌트레이스,SPOTV2
2023.07.01 토,18:00,대구 삼성 라이온즈 파크,종료  한화  10  삼성  4,페넌트레이스,SBS SPORTS
2023.07.01 토,18:00,잠실야구장,종료  KIA  5  LG  3,페넌트레이스,MBC SPORTS+
2023.07.01 토,18:00,수원 케이티위즈 파크,종료  NC  6  KT  7,페넌트레이스,SPOTV
2023.07.01 토,18:00,울산문수야구장,종료  두산  2  롯데  1,페넌트레이스,KBS N SPORTS
2023.07.01 토,18:00,고척 스카이돔,종료  SSG  3  키움  6,페넌트레이스,SPOTV2
2023.07.02 일,14:00,고척 스카이돔,종료  SSG  9  키움  5,페넌트레이스,SPOTV2
2023.07.02 일,17:00,대구 삼성 라이온즈 파크,종료  한화  1  삼성  2,페넌트레이스,SBS SPORTS
2023.07.02 일,17:00,잠실야구장,종료  KIA  1  LG  3,페넌트레이스,MBC SPORTS+
2023.07.02 일,17:00,수원 케이티위즈 파크,종료  NC  0  KT  5,페넌트레이스,SPOTV
2023.07.02 일,17:00,울산문수야구장,종료  두산  4  롯데  2,페넌트레이스,KBS N SPORTS
2023.07.03 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.04 화,18:30,인천 SSG 랜더스 필드,경기취소  KIA  -  SSG  -,페넌트레이스,SPOTV
2023.07.04 화,18:30,잠실야구장,경기취소  KT  -  LG  -,페넌트레이스,KBS N SPORTS
2023.07.04 화,18:30,한화생명 이글스 파크,경기취소  롯데  -  한화  -,페넌트레이스,MBC SPORTS+
2023.07.04 화,18:30,고척 스카이돔,종료  NC  4  키움  8,페넌트레이스,SPOTV2
2023.07.04 화,18:30,포항야구장,종료  두산  5  삼성  3,페넌트레이스,SBS SPORTS
2023.07.05 수,18:30,인천 SSG 랜더스 필드,종료  KIA  17  SSG  3,페넌트레이스,SPOTV
2023.07.05 수,18:30,잠실야구장,종료  KT  8  LG  4,페넌트레이스,KBS N SPORTS
2023.07.05 수,18:30,한화생명 이글스 파크,종료  롯데  3  한화  5,페넌트레이스,MBC SPORTS+
2023.07.05 수,18:30,고척 스카이돔,종료  NC  0  키움  2,페넌트레이스,SPOTV2
2023.07.05 수,18:30,포항야구장,종료  두산  7  삼성  4,페넌트레이스,SBS SPORTS
2023.07.06 목,18:30,인천 SSG 랜더스 필드,종료  KIA  7  SSG  6,페넌트레이스,SPOTV
2023.07.06 목,18:30,잠실야구장,종료  KT  7  LG  8,페넌트레이스,KBS N SPORTS
2023.07.06 목,18:30,한화생명 이글스 파크,종료  롯데  4  한화  3,페넌트레이스,MBC SPORTS+
2023.07.06 목,18:30,고척 스카이돔,종료  NC  5  키움  4,페넌트레이스,SPOTV2
2023.07.06 목,18:30,포항야구장,종료  두산  5  삼성  1,페넌트레이스,SBS SPORTS
2023.07.07 금,18:30,수원 케이티위즈 파크,종료  KIA  6  KT  2,페넌트레이스,MBC SPORTS+
2023.07.07 금,18:30,사직야구장,경기취소  LG  -  롯데  -,페넌트레이스,SPOTV2
2023.07.07 금,18:30,한화생명 이글스 파크,경기취소  SSG  -  한화  -,페넌트레이스,SPOTV
2023.07.07 금,18:30,창원NC파크,경기취소  삼성  -  NC  -,페넌트레이스,SBS SPORTS
2023.07.07 금,18:30,잠실야구장,종료  키움  0  두산  10,페넌트레이스,KBS N SPORTS
2023.07.08 토,18:00,수원 케이티위즈 파크,종료  KIA  7  KT  0,페넌트레이스,MBC SPORTS+
2023.07.08 토,18:00,사직야구장,종료  LG  12  롯데  3,페넌트레이스,SPOTV2
2023.07.08 토,18:00,한화생명 이글스 파크,종료  SSG  9  한화  7,페넌트레이스,SPOTV
2023.07.08 토,18:00,창원NC파크,종료  삼성  8  NC  0,페넌트레이스,SBS SPORTS
2023.07.08 토,18:00,잠실야구장,종료  키움  2  두산  5,페넌트레이스,KBS N SPORTS
2023.07.09 일,17:00,수원 케이티위즈 파크,종료  KIA  5  KT  1,페넌트레이스,MBC SPORTS+
2023.07.09 일,17:00,사직야구장,종료  LG  4  롯데  7,페넌트레이스,SPOTV2
2023.07.09 일,17:00,한화생명 이글스 파크,종료  SSG  0  한화  7,페넌트레이스,SPOTV
2023.07.09 일,17:00,창원NC파크,종료  삼성  7  NC  0,페넌트레이스,SBS SPORTS
2023.07.09 일,17:00,잠실야구장,종료  키움  2  두산  9,페넌트레이스,KBS N SPORTS
2023.07.10 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.11 화,18:30,잠실야구장,경기취소  한화  -  LG  -,페넌트레이스,SPOTV2
2023.07.11 화,18:30,고척 스카이돔,종료  KT  4  키움  2,페넌트레이스,SBS SPORTS
2023.07.11 화,18:30,창원NC파크,경기취소  롯데  -  NC  -,페넌트레이스,MBC SPORTS+
2023.07.11 화,18:30,인천 SSG 랜더스 필드,경기취소  두산  -  SSG  -,페넌트레이스,SPOTV
2023.07.11 화,18:30,광주-기아 챔피언스필드,경기취소  삼성  -  KIA  -,페넌트레이스,KBS N SPORTS
2023.07.12 수,18:30,잠실야구장,종료  한화  2  LG  1,페넌트레이스,SPOTV2
2023.07.12 수,18:30,고척 스카이돔,종료  KT  4  키움  3,페넌트레이스,SBS SPORTS
2023.07.12 수,18:30,창원NC파크,종료  롯데  2  NC  11,페넌트레이스,MBC SPORTS+
2023.07.12 수,18:30,인천 SSG 랜더스 필드,종료  두산  4  SSG  1,페넌트레이스,SPOTV
2023.07.12 수,18:30,광주-기아 챔피언스필드,종료  삼성  2  KIA  3,페넌트레이스,KBS N SPORTS
2023.07.13 목,18:30,잠실야구장,경기취소  한화  -  LG  -,페넌트레이스,SPOTV2
2023.07.13 목,18:30,고척 스카이돔,종료  KT  9  키움  0,페넌트레이스,SBS SPORTS
2023.07.13 목,18:30,창원NC파크,종료  롯데  3  NC  13,페넌트레이스,MBC SPORTS+
2023.07.13 목,18:30,인천 SSG 랜더스 필드,경기취소  두산  -  SSG  -,페넌트레이스,SPOTV
2023.07.13 목,18:30,광주-기아 챔피언스필드,종료  삼성  4  KIA  1,페넌트레이스,KBS N SPORTS
2023.07.14 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.15 토,18:00,사직야구장,종료  드림  4  나눔  8,올스타전,KBS N SPORTS
2023.07.16 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.17 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.18 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.19 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.20 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.21 금,18:30,대구 삼성 라이온즈 파크,종료  KT  7  삼성  2,페넌트레이스,SPOTV2
2023.07.21 금,18:30,한화생명 이글스 파크,종료  NC  9  한화  3,페넌트레이스,SBS SPORTS
2023.07.21 금,18:30,광주-기아 챔피언스필드,종료  두산  5  KIA  2,페넌트레이스,MBC SPORTS+
2023.07.21 금,18:30,잠실야구장,종료  SSG  6  LG  4,페넌트레이스,SPOTV
2023.07.21 금,18:30,사직야구장,종료  키움  0  롯데  2,페넌트레이스,KBS N SPORTS
2023.07.22 토,18:00,대구 삼성 라이온즈 파크,종료  KT  2  삼성  5,페넌트레이스,SPOTV2
2023.07.22 토,18:00,한화생명 이글스 파크,종료  NC  7  한화  5,페넌트레이스,SBS SPORTS
2023.07.22 토,18:00,광주-기아 챔피언스필드,경기취소  두산  -  KIA  -,페넌트레이스,MBC SPORTS+
2023.07.22 토,18:00,잠실야구장,경기취소  SSG  -  LG  -,,SPOTV
2023.07.22 토,18:00,사직야구장,종료  키움  5  롯데  3,페넌트레이스,KBS N SPORTS
2023.07.23 일,17:00,대구 삼성 라이온즈 파크,종료  KT  8  삼성  7,페넌트레이스,SPOTV2
2023.07.23 일,17:00,한화생명 이글스 파크,경기취소  NC  -  한화  -,페넌트레이스,SBS SPORTS
2023.07.23 일,17:00,광주-기아 챔피언스필드,경기취소  두산  -  KIA  -,페넌트레이스,MBC SPORTS+
2023.07.23 일,17:00,잠실야구장,경기취소  SSG  -  LG  -,페넌트레이스,SPOTV
2023.07.23 일,17:00,사직야구장,종료  키움  7  롯데  6,페넌트레이스,KBS N SPORTS
2023.07.24 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.25 화,18:30,고척 스카이돔,종료  한화  16  키움  6,페넌트레이스,MBC SPORTS+
2023.07.25 화,18:30,창원NC파크,종료  KIA  3  NC  5,페넌트레이스,SPOTV2
2023.07.25 화,18:30,수원 케이티위즈 파크,종료  LG  1  KT  4,페넌트레이스,KBS N SPORTS
2023.07.25 화,18:30,잠실야구장,종료  롯데  5  두산  8,페넌트레이스,네이버
2023.07.25 화,18:30,대구 삼성 라이온즈 파크,종료  SSG  1  삼성  5,페넌트레이스,SPOTV
2023.07.26 수,18:30,고척 스카이돔,종료  한화  5  키움  4,페넌트레이스,MBC SPORTS+
2023.07.26 수,18:30,창원NC파크,종료  KIA  13  NC  3,페넌트레이스,SPOTV2
2023.07.26 수,18:30,수원 케이티위즈 파크,종료  LG  3  KT  4,페넌트레이스,KBS N SPORTS
2023.07.26 수,18:30,잠실야구장,종료  롯데  7  두산  2,페넌트레이스,SBS SPORTS
2023.07.26 수,18:30,대구 삼성 라이온즈 파크,종료  SSG  8  삼성  7,페넌트레이스,SPOTV
2023.07.27 목,18:30,고척 스카이돔,종료  한화  0  키움  2,페넌트레이스,MBC SPORTS+
2023.07.27 목,18:30,창원NC파크,종료  KIA  0  NC  4,페넌트레이스,SPOTV2
2023.07.27 목,18:30,수원 케이티위즈 파크,종료  LG  9  KT  6,페넌트레이스,KBS N SPORTS
2023.07.27 목,18:30,잠실야구장,종료  롯데  9  두산  1,페넌트레이스,SBS SPORTS
2023.07.27 목,18:30,대구 삼성 라이온즈 파크,종료  SSG  5  삼성  6,페넌트레이스,SPOTV
2023.07.28 금,18:30,인천 SSG 랜더스 필드,종료  한화  4  SSG  3,페넌트레이스,MBC SPORTS+
2023.07.28 금,18:30,창원NC파크,종료  KT  10  NC  2,페넌트레이스,SPOTV
2023.07.28 금,18:30,잠실야구장,종료  LG  9  두산  2,페넌트레이스,SPOTV2
2023.07.28 금,18:30,광주-기아 챔피언스필드,종료  롯데  5  KIA  6,페넌트레이스,KBS N SPORTS
2023.07.28 금,18:30,고척 스카이돔,종료  삼성  5  키움  5,페넌트레이스,네이버
2023.07.29 토,18:00,인천 SSG 랜더스 필드,종료  한화  3  SSG  6,페넌트레이스,MBC SPORTS+
2023.07.29 토,18:00,창원NC파크,종료  KT  8  NC  2,페넌트레이스,SPOTV
2023.07.29 토,18:00,잠실야구장,종료  LG  7  두산  6,페넌트레이스,SPOTV2
2023.07.29 토,18:00,광주-기아 챔피언스필드,종료  롯데  1  KIA  4,페넌트레이스,KBS N SPORTS
2023.07.29 토,18:00,고척 스카이돔,종료  삼성  7  키움  2,페넌트레이스,SBS SPORTS
2023.07.30 일,14:00,고척 스카이돔,종료  삼성  10  키움  6,페넌트레이스,SBS SPORTS
2023.07.30 일,17:00,인천 SSG 랜더스 필드,종료  한화  1  SSG  6,페넌트레이스,MBC SPORTS+
2023.07.30 일,17:00,창원NC파크,종료  KT  5  NC  2,페넌트레이스,SPOTV
2023.07.30 일,17:00,잠실야구장,종료  LG  10  두산  0,페넌트레이스,SPOTV2
2023.07.30 일,17:00,광주-기아 챔피언스필드,종료  롯데  3  KIA  6,페넌트레이스,KBS N SPORTS
2023.07.31 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.08.01 화,18:30,포항야구장,종료  KIA  11  삼성  8,페넌트레이스,KBS N SPORTS
2023.08.01 화,18:30,사직야구장,종료  NC  6  롯데  3,페넌트레이스,MBC SPORTS+
2023.08.01 화,18:30,한화생명 이글스 파크,종료  두산  8  한화  3,페넌트레이스,SPOTV
2023.08.01 화,18:30,수원 케이티위즈 파크,종료  SSG  0  KT  8,페넌트레이스,네이버
2023.08.01 화,18:30,잠실야구장,종료  키움  2  LG  4,페넌트레이스,SPOTV2
2023.08.02 수,18:30,포항야구장,종료  KIA  6  삼성  7,페넌트레이스,KBS N SPORTS
2023.08.02 수,18:30,사직야구장,종료  NC  3  롯데  6,페넌트레이스,MBC SPORTS+
2023.08.02 수,18:30,한화생명 이글스 파크,종료  두산  4  한화  1,페넌트레이스,SPOTV
2023.08.02 수,18:30,수원 케이티위즈 파크,종료  SSG  0  KT  1,페넌트레이스,SBS SPORTS
2023.08.02 수,18:30,잠실야구장,종료  키움  3  LG  6,페넌트레이스,SPOTV2
2023.08.03 목,18:30,포항야구장,종료  KIA  12  삼성  8,페넌트레이스,KBS N SPORTS
2023.08.03 목,18:30,사직야구장,종료  NC  8  롯데  1,페넌트레이스,MBC SPORTS+
2023.08.03 목,18:30,한화생명 이글스 파크,종료  두산  2  한화  5,페넌트레이스,SPOTV
2023.08.03 목,18:30,수원 케이티위즈 파크,종료  SSG  1  KT  3,페넌트레이스,SBS SPORTS
2023.08.03 목,18:30,잠실야구장,종료  키움  4  LG  5,페넌트레이스,SPOTV2
2023.08.04 금,18:30,광주-기아 챔피언스필드,종료  한화  3  KIA  9,페넌트레이스,SBS SPORTS
2023.08.04 금,18:30,잠실야구장,종료  KT  4  두산  3,페넌트레이스,SPOTV2
2023.08.04 금,18:30,대구 삼성 라이온즈 파크,종료  LG  4  삼성  5,페넌트레이스,SPOTV
2023.08.04 금,18:30,사직야구장,종료  SSG  4  롯데  1,페넌트레이스,KBS N SPORTS
2023.08.04 금,18:30,창원NC파크,종료  키움  2  NC  4,페넌트레이스,MBC SPORTS+
2023.08.05 토,18:00,광주-기아 챔피언스필드,종료  한화  3  KIA  9,페넌트레이스,SBS SPORTS
2023.08.05 토,18:00,잠실야구장,종료  KT  4  두산  7,페넌트레이스,SPOTV2
2023.08.05 토,18:00,대구 삼성 라이온즈 파크,종료  LG  3  삼성  6,페넌트레이스,SPOTV
2023.08.05 토,18:00,사직야구장,종료  SSG  9  롯데  6,페넌트레이스,KBS N SPORTS
2023.08.05 토,18:00,창원NC파크,종료  키움  3  NC  4,페넌트레이스,MBC SPORTS+
2023.08.06 일,17:00,광주-기아 챔피언스필드,종료  한화  4  KIA  4,페넌트레이스,SBS SPORTS
2023.08.06 일,17:00,잠실야구장,종료  KT  3  두산  1,페넌트레이스,SPOTV2
2023.08.06 일,17:00,대구 삼성 라이온즈 파크,종료  LG  7  삼성  4,페넌트레이스,SPOTV
2023.08.06 일,17:00,사직야구장,종료  SSG  0  롯데  1,페넌트레이스,KBS N SPORTS
2023.08.06 일,17:00,창원NC파크,종료  키움  7  NC  12,페넌트레이스,MBC SPORTS+
2023.08.07 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.08.08 화,18:30,수원 케이티위즈 파크,종료  한화  2  KT  7,페넌트레이스,KBS N SPORTS
